"","rownames.downRegulated_DEGs.","expres"
"LINC01347","LINC01347",2.75298556573601
"LINC00266-4P","LINC00266-4P",2.75298556573601
"AC270301.8","AC270301.8",2.52437440647381
"TNKS","TNKS",2.73546711969031
"AF131215.5","AF131215.5",2.52437440647381
"RANBP6","RANBP6",2.72304353773543
"PLIN2","PLIN2",2.71302340493341
"CDKN2B","CDKN2B",2.91684446488764
"AL845311.1","AL845311.1",1.66868533022893
"BX664730.1","BX664730.1",1.66868533022893
"ANXA1","ANXA1",2.49973009281241
"AF279873.2","AF279873.2",2.52515637924447
"FNTA","FNTA",2.99079348864888
"ZNF462","ZNF462",2.96072537457807
"LYN","LYN",2.99859937201508
"PDE7A","PDE7A",2.5440926563997
"SKA2P1","SKA2P1",3.21805634365803
"SULF1","SULF1",2.82651570943021
"ZBTB43","ZBTB43",2.87488710326787
"HUS1","HUS1",2.91382435570201
"GDAP1","GDAP1",2.7077054281487
"TMSB4XP4","TMSB4XP4",3.16430998714165
"OSGIN2","OSGIN2",3.00332435974537
"AC092001.1","AC092001.1",1.85175496936135
"AC006455.8","AC006455.8",2.20359893325789
"SPTAN1","SPTAN1",3.14231939402345
"RNF19A","RNF19A",2.87893853413914
"KLF10","KLF10",2.62301911282547
"ZHX2","ZHX2",2.98088127393373
"FBXO32","FBXO32",2.13634601637201
"TRIB1","TRIB1",2.81590038699162
"ST3GAL1","ST3GAL1",3.23764320021289
"TRIM4","TRIM4",2.89964440759354
"LHFPL3-AS2","LHFPL3-AS2",2.29483960887183
"METTL2B","METTL2B",3.0655083649582
"TMEM178B","TMEM178B",2.492708087559
"TMEM139","TMEM139",2.53723625480104
"RHEB","RHEB",2.99772940118236
"ESYT2","ESYT2",3.1897409496848
"SEPTIN14P21","SEPTIN14P21",2.75298556573601
"ANOS1","ANOS1",2.68664375803427
"PIGA","PIGA",2.93442554461409
"BCOR","BCOR",2.98643767229342
"MIR222","MIR222",1.63386728618239
"ANKRD18CP","ANKRD18CP",2.2217273088067
"LINC01560","LINC01560",2.41817916924773
"KIF4A","KIF4A",3.14340453895872
"SLC25A25-AS1","SLC25A25-AS1",2.41956515474616
"PLS3","PLS3",2.83946243788725
