,GSM4731601,GSM4731602,GSM4731603,GSM4731604,GSM4731605,GSM4731606,GSM4731607,GSM4731608,GSM4731609,GSM4731610,GSM4731611,GSM4731612,GSM4731613,GSM4731614,GSM4731615,GSM4731616,GSM4731617,GSM4731618
RGN,4.296365816,4.259425681,4.180889834,4.242769375,4.341068323,4.340530765,4.404153136,4.209871226,4.277407337,4.117104925,4.214643324,4.454234881,4.348942464,4.487348494,4.383580218,4.068163925,4.151678638,4.075763826
LINC01560,5.13062058,5.230396534,5.174877389,5.5167491,5.470043402,5.330829777,5.233660481,5.444172231,5.46285188,5.478081576,5.459683222,5.828879642,5.248925439,5.199991068,5.405516755,5.134291585,5.43142574,5.08258346
CSGALNACT2,6.734896971,6.62762073,7.12449327,6.364003094,6.865712566,6.33496941,6.343713659,6.621168786,6.650071691,6.343501323,6.631742898,6.608940755,6.780897459,6.710253606,7.074683641,7.417072797,7.511600331,6.845773552
ALG2,8.579136203,8.65316643,9.391909103,8.774035817,8.457889248,8.729528539,8.560452963,8.606675821,8.824873361,8.718796719,8.52908641,8.426335974,8.960913374,9.348059705,9.241640151,8.98825647,9.193864074,9.32569711
TIMP1,7.915674937,8.133636718,7.477763216,8.052406096,7.673587965,8.002726496,8.006522291,7.971167171,7.49108999,7.819840782,7.764441762,7.364532018,7.034769241,6.966217332,7.012388331,6.592700972,6.968868399,7.40992065
ELK1,8.168469565,8.375899453,7.930529938,8.285845257,7.979286897,8.324730125,8.199004209,8.120325672,7.918146021,8.117211659,8.064707802,7.644457356,7.785661977,7.637338762,7.702734206,7.517183804,7.536203132,8.001744529
ZNF182,6.227076793,6.144110379,6.468695494,6.112373632,6.511534765,6.185237693,6.044544176,6.30561325,6.645284638,6.235096342,6.339927715,6.37845251,5.833299438,6.099130407,5.884319918,5.799999478,6.127451457,5.743121206
ZNF630,5.971363645,5.862469469,6.038456888,5.984107426,6.137457808,5.861279645,5.789255549,5.855434291,6.10266149,5.998671265,5.956094792,5.882874622,6.026419118,6.206181505,6.175549524,6.196720171,6.515226394,6.219601292
MSANTD3,7.658157445,7.628868681,7.520772004,7.698955808,7.586713976,7.690640683,7.506293498,7.587661824,7.598561534,7.600055578,7.552405203,7.32074479,7.579780972,7.411061372,7.415889073,8.114474809,7.702990637,7.823404283
MSANTD3-TMEFF1,5.871592384,5.735363346,6.038582517,5.894308203,6.013157224,5.722991513,5.759730113,5.935022072,5.912129773,5.643730349,5.696654604,6.13727483,5.946503211,5.903626015,6.130353161,6.960234033,6.622034353,6.108706773
TMEFF1,5.871592384,5.735363346,6.038582517,5.894308203,6.013157224,5.722991513,5.759730113,5.935022072,5.912129773,5.643730349,5.696654604,6.13727483,5.946503211,5.903626015,6.130353161,6.960234033,6.622034353,6.108706773
PORCN,6.798848135,7.056369203,7.306198646,7.027999332,7.063327316,7.017499952,7.006856171,6.999193324,7.12396864,6.887916025,6.686025626,7.021342525,6.281103074,6.622159674,6.459774494,5.749267172,6.145694424,6.194187713
